Wvlgth nm,Global tilt  W*m-2*nm-1,photon energy (J),photon flux (s-1 m-2 nm-1)
1332.0,1.4579E-01,1.49135E-19,9.7757E+17
1333.0,2.0304E-01,1.49023E-19,1.3625E+18
1334.0,1.6925E-01,1.48911E-19,1.1366E+18
1335.0,2.3117E-01,1.488E-19,1.5536E+18
1336.0,1.8348E-01,1.48688E-19,1.2340E+18
1337.0,1.6454E-01,1.48577E-19,1.1074E+18
1338.0,1.7804E-01,1.48466E-19,1.1992E+18
1339.0,1.7681E-01,1.48355E-19,1.1918E+18
1340.0,1.6831E-01,1.48244E-19,1.1354E+18
1341.0,1.7039E-01,1.48134E-19,1.1502E+18
1342.0,1.7798E-01,1.48023E-19,1.2024E+18
1343.0,1.2711E-01,1.47913E-19,8.5936E+17
1344.0,7.5645E-02,1.47803E-19,5.1180E+17
1345.0,1.0904E-01,1.47693E-19,7.3829E+17
1346.0,5.8186E-02,1.47584E-19,3.9426E+17
1347.0,6.0119E-02,1.47474E-19,4.0766E+17
1348.0,4.7451E-03,1.47365E-19,3.2200E+16
1349.0,1.6159E-02,1.47255E-19,1.0973E+17
1350.0,1.6025E-02,1.47146E-19,1.0891E+17
1351.0,4.6298E-03,1.47037E-19,3.1487E+16
1352.0,1.5164E-03,1.46929E-19,1.0321E+16
1353.0,9.6096E-05,1.4682E-19,6.5452E+14
1354.0,2.9009E-04,1.46712E-19,1.9773E+15
1355.0,3.6034E-06,1.46603E-19,2.4579E+13
1356.0,4.8070E-05,1.46495E-19,3.2813E+14
1357.0,7.1786E-05,1.46387E-19,4.9038E+14
1358.0,4.1948E-06,1.46279E-19,2.8677E+13
1359.0,7.3439E-07,1.46172E-19,5.0242E+12
1360.0,2.1404E-06,1.46064E-19,1.4654E+13
1361.0,4.8133E-09,1.45957E-19,3.2978E+10
1362.0,1.8076E-11,1.4585E-19,1.2394E+08
1363.0,3.1563E-06,1.45743E-19,2.1657E+13
1364.0,1.3589E-06,1.45636E-19,9.3308E+12
1365.0,9.0764E-12,1.45529E-19,6.2368E+07
1366.0,1.2791E-05,1.45423E-19,8.7957E+13
1367.0,4.9764E-06,1.45316E-19,3.4245E+13
1368.0,1.4810E-13,1.4521E-19,1.0199E+06
1369.0,5.1667E-07,1.45104E-19,3.5607E+12
1370.0,2.9200E-07,1.44998E-19,2.0138E+12
1371.0,1.9731E-08,1.44892E-19,1.3618E+11
1372.0,2.7498E-06,1.44787E-19,1.8992E+13
1373.0,4.4401E-05,1.44681E-19,3.0689E+14
1374.0,1.7917E-04,1.44576E-19,1.2393E+15
1375.0,3.2332E-04,1.44471E-19,2.2380E+15
1376.0,2.5748E-04,1.44366E-19,1.7835E+15
1377.0,1.2270E-04,1.44261E-19,8.5054E+14
1378.0,1.1089E-03,1.44156E-19,7.6923E+15
1379.0,5.2164E-05,1.44052E-19,3.6212E+14
1380.0,8.1587E-05,1.43947E-19,5.6678E+14
1381.0,2.3716E-06,1.43843E-19,1.6487E+13
1382.0,2.5672E-06,1.43739E-19,1.7860E+13
1383.0,4.4017E-08,1.43635E-19,3.0645E+11
1384.0,6.1689E-07,1.43531E-19,4.2979E+12
1385.0,2.0899E-06,1.43428E-19,1.4571E+13
1386.0,2.5215E-06,1.43324E-19,1.7593E+13
1387.0,1.9896E-04,1.43221E-19,1.3892E+15
1388.0,4.0262E-06,1.43118E-19,2.8132E+13
1389.0,5.8098E-04,1.43015E-19,4.0624E+15
1390.0,4.9328E-04,1.42912E-19,3.4516E+15
1391.0,3.4384E-04,1.42809E-19,2.4077E+15
1392.0,2.3782E-05,1.42707E-19,1.6665E+14
1393.0,1.1586E-04,1.42604E-19,8.1246E+14
1394.0,7.5526E-05,1.42502E-19,5.3000E+14
1395.0,6.7136E-07,1.424E-19,4.7146E+12
1396.0,6.3215E-09,1.42298E-19,4.4424E+10
1397.0,4.9057E-05,1.42196E-19,3.4500E+14
1398.0,1.2704E-03,1.42094E-19,8.9406E+15
1399.0,8.1226E-04,1.41992E-19,5.7204E+15
1400.0,3.2466E-09,1.41891E-19,2.2881E+10
1401.0,1.0528E-08,1.4179E-19,7.4251E+10
1402.0,1.8353E-03,1.41689E-19,1.2953E+16
1403.0,2.3800E-03,1.41588E-19,1.6809E+16
1404.0,7.3892E-04,1.41487E-19,5.2225E+15
1405.0,3.6444E-07,1.41386E-19,2.5776E+12
1406.0,2.0448E-03,1.41286E-19,1.4473E+16
1407.0,1.7457E-04,1.41185E-19,1.2365E+15
1408.0,1.6493E-03,1.41085E-19,1.1690E+16
1409.0,6.1919E-04,1.40985E-19,4.3919E+15
1410.0,4.6653E-04,1.40885E-19,3.3114E+15
1411.0,2.1142E-03,1.40785E-19,1.5017E+16
1412.0,2.6396E-03,1.40685E-19,1.8762E+16
1413.0,2.3353E-02,1.40586E-19,1.6611E+17
1414.0,3.6378E-04,1.40486E-19,2.5894E+15
1415.0,1.8366E-04,1.40387E-19,1.3082E+15
1416.0,3.5565E-02,1.40288E-19,2.5351E+17
1417.0,1.1759E-02,1.40189E-19,8.3880E+16
1418.0,1.3559E-02,1.4009E-19,9.6788E+16
1419.0,2.1442E-03,1.39991E-19,1.5317E+16
1420.0,8.2718E-03,1.39893E-19,5.9130E+16
1421.0,9.1637E-03,1.39794E-19,6.5551E+16
1422.0,4.6314E-02,1.39696E-19,3.3153E+17
1423.0,9.2198E-03,1.39598E-19,6.6046E+16
1424.0,1.6975E-02,1.395E-19,1.2168E+17
1425.0,2.5850E-02,1.39402E-19,1.8544E+17
1426.0,2.7792E-02,1.39304E-19,1.9951E+17
1427.0,4.9546E-02,1.39206E-19,3.5592E+17
1428.0,4.5588E-03,1.39109E-19,3.2771E+16
1429.0,3.8020E-02,1.39012E-19,2.7350E+17
1430.0,6.1601E-02,1.38914E-19,4.4345E+17
1431.0,5.0156E-02,1.38817E-19,3.6131E+17
1432.0,2.5194E-03,1.3872E-19,1.8162E+16
1433.0,3.5834E-02,1.38624E-19,2.5850E+17
1434.0,2.0962E-02,1.38527E-19,1.5132E+17
1435.0,2.1416E-02,1.3843E-19,1.5471E+17
1436.0,3.8351E-02,1.38334E-19,2.7724E+17
1437.0,2.9880E-02,1.38238E-19,2.1615E+17
1438.0,1.3263E-02,1.38142E-19,9.6010E+16
1439.0,5.1039E-02,1.38046E-19,3.6973E+17
1440.0,3.9601E-02,1.3795E-19,2.8707E+17
1441.0,3.1800E-02,1.37854E-19,2.3068E+17
1442.0,3.6317E-02,1.37758E-19,2.6363E+17
1443.0,4.5063E-02,1.37663E-19,3.2734E+17
1444.0,6.1791E-02,1.37568E-19,4.4917E+17
1445.0,4.9751E-02,1.37472E-19,3.6190E+17
1446.0,2.3095E-02,1.37377E-19,1.6811E+17
1447.0,3.6215E-02,1.37282E-19,2.6380E+17
1448.0,1.1569E-01,1.37187E-19,8.4330E+17
1449.0,1.0213E-01,1.37093E-19,7.4497E+17
1450.0,2.7412E-02,1.36998E-19,2.0009E+17
1451.0,1.1271E-02,1.36904E-19,8.2328E+16
1452.0,6.2361E-02,1.3681E-19,4.5582E+17
