Wavelength (nm),Mass Attenuation Coeff (Lg-1cm-1),Mass Attenuation Coeff (Lg-1cm-1)
Wavelength (nm),TIPS-Tc,PbS-TET-CA
957,1.15E-05,0.22546
956,-0.00149,0.23514
955,0.00596,0.24424
954,-0.00139,0.22944
953,0.00473,0.23702
952,-0.00435,0.23534
951,0.00606,0.23628
950,-0.00527,0.22458
949,-0.00732,0.2249
948,-0.00597,0.22562
947,9.04E-04,0.23114
946,0.00422,0.23598
945,-9.38E-04,0.24394
944,-0.00592,0.22186
943,0.00413,0.24244
942,-0.00347,0.23746
941,-0.00557,0.24144
940,0.00149,0.2527
939,0.00142,0.2455
938,-0.0036,0.22194
937,-0.01121,0.22768
936,0.0073,0.25476
935,-0.00295,0.24886
934,0.00369,0.25332
933,0.00255,0.2619
932,6.73E-04,0.2519
931,0.00448,0.25164
930,0.00879,0.26926
929,-0.00473,0.24838
928,-0.00199,0.26026
927,-0.00624,0.25296
926,2.85E-04,0.26354
925,0.00213,0.2707
924,-0.00398,0.2506
923,-0.00395,0.26112
922,-0.00221,0.25776
921,-0.00333,0.25816
920,-0.00263,0.25854
919,-0.0018,0.26634
918,-0.00123,0.27406
917,-0.00504,0.26386
916,-0.00504,0.2679
915,-4.42E-04,0.2696
914,-0.00122,0.27212
913,-0.00229,0.2693
912,-0.00457,0.26852
911,-0.00313,0.26456
910,-0.00329,0.27704
909,-0.00213,0.28402
908,-0.0043,0.27928
907,-0.00729,0.27686
906,-0.00105,0.2786
905,-0.0077,0.27362
904,-0.0046,0.27792
903,-0.00295,0.28504
902,-0.00135,0.28726
901,-0.00495,0.29046
900,-0.00494,0.2893
899,-0.00685,0.2921
898,-0.00158,0.2991
897,2.61E-04,0.30568
896,-0.00199,0.29398
895,0.00175,0.30106
894,6.19E-04,0.31458
893,0.00119,0.30598
892,-0.00169,0.31118
891,-0.00253,0.30304
890,0.00209,0.30088
889,0.00323,0.30944
888,8.48E-04,0.31252
887,-0.00241,0.31276
886,-0.00316,0.31896
885,0.00305,0.32972
884,6.49E-04,0.3249
